toa	mui	kai
jí	代名詞：「私」（一人称代名詞）	lynn
da	「断言する」という言語行為を表す（つまり平叙文を示す）語尾	lynn
moq	返事を要求する言語行為を表す語尾。日本語での「〜か？」の同義	el
ba	行為の要求や希求や命令などを表現する言語行為を表す語尾。日本語の「〜なさい」と「〜たい」のように使えられる。	el
kuq	▯は▯（内容）と▯（聴衆）に言う	lynn
dua	▯は▯がそうであると知っている	lynn
tı	▯が▯に居る／在る	lynn
rao	▯は▯と同時に起こる	lynn
tao	▯は▯を行為／実行する	lynn
gı	▯は良い	lynn
huı	▯は悪い	lynn
bua	▯は▯に住んでいる	lynn
chuq	▯は食べる；▯は▯を食べる	lynn
hao	▯はアレ	lynn
shı	▯は一つである；▯は▯というプロパティに当てはまる事の一つである	lynn
gu	▯は二つである；▯は▯というプロパティに当てはまる事の二つである	lynn
joe	▯は▯というプロパティに当てはまるのが上手	lynn
raı	▯は何かである	lynn
ocha	▯は人間	lynn
poq	▯は人	lynn
mıu	▯は▯がそうであると思う／考える／意見する	lynn
jıa	▯が未来に起こる（未来形）	lynn
pu	▯が起こった／そうであった（過去形）	lynn
hıo	▯は▯に挨拶する	lynn
sao	▯は大きい	lynn
nuı	▯は小さい	lynn
paq	▯は▯の部分	lynn
gaı	▯は▯を感知する／感じ取る	lynn
kaqgaı	▯は▯を見る	lynn
kuaq	▯は、自分が▯というプロパティに当てはまると表す	lynn
naq	▯は男性	lynn
lıq	▯は女性	lynn
naı	▯は今起こる／そうである	lynn
súq	代名詞：「あなた」（二人称代名詞）	lynn
nháo	代名詞：「あの人」（三人称代名詞）	lynn
kua	▯は部屋／室	lynn
bue	▯は▯の巣／家／ねぐら	lynn
jaı	▯は嬉しい	lynn
meo	▯は悲しい	lynn
doaq	▯は村／都市／集落	lynn
jıo	▯は建物	lynn
bu	▯はそうでない／偽；▯は▯というプロパティに当てはまらない	lynn
geo	▯は古い／お年寄り／老人	lynn
nıo	▯は若い／幼い	lynn
keo	文章接続詞：「しかし」	lynn
ru	接続詞：「と、及び」	lynn
ra	接続詞：「や、か」（論理和、OR）	lynn
ro	接続詞：排他的論理和、XOR	lynn
jıao	▯は神	lynn
de	▯は綺麗／美しい	lynn
hıu	▯は川	lynn
fa	▯は▯に▯から行く	lynn
zu	▯は言語	lynn
toaq	▯はトアン語らしい／トアン語と関係ある	lynn
toaqzu	▯はトアン語	lynn
sa	限定詞：「ある…」（存在記号、∃）	lynn
tu	限定詞：「あらゆる…」（全称記号、∀）	lynn
tuq	限定詞：「全ての…」（全体記号、McKayでのΛ∃）	lynn
ke	限定詞：「the …」（定冠詞／確定記述）	lynn
mı	名動詞：「〇〇と名付けられたもの」（次の句を名前にする、例：mí Tỏadua = トアデュア）	lynn
mıru	名動詞：「〇〇さん」（次の句を敬称のように人名にする、例：míru Tảnaka = 田中さん）	lynn
máq	代名詞：「それ」；有生性クラス II（無生物）の限定詞句を参照する束縛代名詞	lynn
hó	代名詞：「その人、その動物」；有生性クラス I（有生／人／動物）の限定詞句を参照する束縛代名詞	lynn
hóq	代名詞：「それ」；有生性クラス III（抽象概念）の限定詞句を参照する束縛代名詞	lynn
tá	代名詞：「それ」；有生性クラス IV（形容詞）の限定詞句を参照する束縛代名詞	lynn
róu	代名詞：「それ」；有生性クラス V（第五声調節、例「dê … cy」）の限定詞句を参照する束縛代名詞	lynn
kúy	代名詞：「それ」；有生性クラス VI（LU節）の限定詞句を参照する束縛代名詞	lynn
zé	代名詞：「それ」；有生性クラス VII（PO句）の限定詞句を参照する束縛代名詞	lynn
fúy	代名詞：「それ」；有生性クラス VIII（人称代名詞）の限定詞句を参照する束縛代名詞	lynn
bóu	代名詞：「それ」；有生性クラス IX（指示代名詞）の限定詞句を参照する束縛代名詞	lynn
choq	▯は▯を▯に使う	lynn
bı	終了詞：「は」、題目部(prenex/topic)の終了	lynn
ja	限定詞：「λ」、ラムダ抽象の束縛変数：「chûq ja pỏq ja rảı」＝「λP. λR. chuq(P, R)」	lynn
sıa	限定詞：「一つも…ない」（存在の否定、￢∃、∄）	lynn
hu	呼びかけ助詞：「〜よ」、次の名詞句を聴き手として特定しながら呼びかける	lynn
muaq	▯は死んでいる	lynn
muaqsho	▯は死ぬ／亡くなる	lynn
geq	▯は▯と会う	lynn
nıe	▯は▯の中にある／居る	lynn
gao	▯は▯の上にある／居る	lynn
guq	▯は▯の下にある	lynn
paı	▯は友達／友人；▯は▯の友達／友人	lynn
laı	▯は▯を意味する文字／印／記号／象徴	lynn
kaqsı	▯は▯を観る	lynn
geı	▯は▯を着ている	lynn
joaq	▯は▯の所長／親分／リーダー	lynn
tıjao	▯は▯から遠い	lynn
heq	▯は▯を含んでいる；▯には▯が入っている	lynn
kune	▯は犬／イヌ／イヌ属（Canis）に属する動物	lynn
nıaı	▯は動物	lynn
kaı	▯は▯を▯に書く／描く	lynn
caı	▯は強い	lynn
rue	▯は弱い	lynn
sea	▯は休む／休憩する／休息する	lynn
buaı	▯は長い	lynn
gıaq	▯は音楽	lynn
muq	▯は手	lynn
shıaq	▯は脚	lynn
joqhua	▯は頭	lynn
nıq	▯は新しい；▯は▯にとって新しい	lynn
loq	▯は暑い／熱い／暖かい	lynn
koa	▯は寒い／冷たい	lynn
jıaq	▯は世界／世の中	lynn
mıe	▯は生きる／生きている	lynn
nao	▯は水／お湯	lynn
neaq	▯は砂	lynn
hıaı	▯は笑う	lynn
feı	▯は怒っている	lynn
laq	▯は音	lynn
lıqdeo	▯は少女／女の子	lynn
naqdeo	▯は少年／男の子	lynn
deo	▯は子ども	lynn
koaqnaq	▯は男	lynn
koaqlıq	▯は女	lynn
huosı	▯は▯を聴く	lynn
zuy	▯は壊れている／故障している	lynn
shoı	▯は叫ぶ	lynn
nueq	▯は肉	lynn
tea	▯は怖がる	lynn
buı	▯は▯の外で在る	lynn
juo	▯は手紙／メッセージ	lynn
gua	▯は国	lynn
kaqhua	▯は目	lynn
ruq	▯は雨	lynn
sheaq	▯は▯の上に立っている	lynn
koı	▯は歩く	lynn
nıu	▯は植物	lynn
muao	▯は木	lynn
gea	▯は（位置が）高い（high）	lynn
luq	▯は静か／閑静／静粛／冷静	lynn
be	▯は幼児／赤ちゃん／赤ん坊	lynn
tuı	▯は▯の上に座っている	lynn
suaq	▯は歌う	lynn
meı	▯は山／岡	lynn
pıe	▯は▯を飲む	lynn
beaq	▯は竿／棒	lynn
sıaı	▯は血／血液	lynn
nuofua	▯はベッド／布団	lynn
hoe	▯は日／太陽	lynn
maı	▯は▯を愛している	lynn
cho	▯は▯が好き	lynn
hoaq	▯が燃える	lynn
gıo	▯は光	lynn
seoq	▯は空／天	lynn
rea	▯は▯の境界／端／さかい	lynn
baq	限定詞：「全般に…」（個物を参照せずに「種類」を示す）	lynn
kue	▯は本／書物／文献	lynn
kato	▯は猫／ネコ	lynn
reı	▯は▯の周りにある；▯は▯を包囲する／取り囲む	lynn
baı	▯は▯を作る／建てる／組み立てる	lynn
fıeq	▯は▯を創造する／創作する／創る／発明する／創案する	lynn
faq	▯は起こる	lynn
haq	▯は食べ物／食料	lynn
raq	▯は▯と関係ある／関連する／についてのことである	lynn
daq	▯は時間	lynn
